ts_unix_ns,ticker,samples,latency_ns
1777428469237617741,23,512,143246
1777428469237799793,24,512,155018
1777428469237977913,25,512,148547
1777428469238137118,26,512,134945
1777428469238326518,27,512,160362
1777428469238501749,28,512,145784
1777428469238670882,29,512,142150
1777428469238851678,30,512,153570
1777428469239025076,31,512,145444
1777428469239204664,32,512,153220
1777428469239385737,33,512,149048
1777428469239555445,34,512,141884
1777428469239732126,35,512,149496
1777428469239907853,36,512,146132
1777428469240078645,37,512,143915
1777428469240261493,38,512,153690
1777428469240438760,39,512,148188
1777428469240607647,40,512,141898
1777428469240786004,41,512,151864
1777428469240979584,42,512,146372
1777428469241151287,43,512,144202
1777428469241340614,44,512,151138
1777428469241513971,45,512,145993
1777428469241682789,46,512,141897
1777428469241863704,47,512,154316
1777428469242037067,48,512,145066
1777428469242213083,49,512,148878
1777428469242380494,50,512,138392
1777428469242540576,51,512,135349
1777428469242707029,52,512,141710
1777428469242900551,53,512,157602
1777428469243086398,54,512,154092
1777428469243291940,55,512,171718
1777428469243471619,56,512,147043
1777428469243641737,57,512,140744
1777428469243820121,58,512,150227
1777428469243994241,59,512,144745
1777428469244164680,60,512,142378
1777428469244351091,61,512,147662
1777428469244523162,62,512,142698
1777428469244694304,63,512,142739
1777428469244874199,64,512,146283
1777428469245042792,65,512,140473
1777428469245225894,66,512,156783
1777428469245406997,67,512,149287
1777428469245578846,68,512,143501
1777428469245759750,69,512,154504
1777428469245939846,70,512,150101
1777428469246113007,71,512,145775
1777428469246297798,72,512,155863
1777428469246477057,73,512,149061
1777428469246648815,74,512,144255
1777428469246830292,75,512,155442
1777428469247040370,76,512,175684
1777428469247246037,77,512,173398
1777428469247425657,78,512,148104
1777428469247595505,79,512,141369
1777428469247770038,80,512,148287
1777428469247944821,81,512,145690
1777428469248115083,82,512,142780
1777428469248296544,83,512,153234
1777428469248473572,84,512,147918
